"","recency3","monetary3","frequency3","count"
"1","5","1","1",30
"2","4","1","1",31
"3","3","1","1",51
"4","2","1","1",51
"5","1","1","1",32
"6","5","2","1",17
"7","4","2","1",15
"8","3","2","1",34
"9","2","2","1",34
"10","1","2","1",27
"11","5","3","1",20
"12","4","3","1",23
"13","3","3","1",29
"14","2","3","1",30
"15","1","3","1",26
"16","5","4","1",17
"17","4","4","1",10
"18","3","4","1",37
"19","2","4","1",30
"20","1","4","1",18
"21","5","5","1",5
"22","4","5","1",3
"23","3","5","1",8
"24","2","5","1",10
"25","1","5","1",5
"26","5","1","2",27
"27","4","1","2",26
"28","3","1","2",51
"29","2","1","2",36
"30","1","1","2",32
"31","5","2","2",28
"32","4","2","2",15
"33","3","2","2",26
"34","2","2","2",41
"35","1","2","2",30
"36","5","3","2",21
"37","4","3","2",21
"38","3","3","2",31
"39","2","3","2",35
"40","1","3","2",28
"41","5","4","2",16
"42","4","4","2",21
"43","3","4","2",23
"44","2","4","2",27
"45","1","4","2",27
"46","5","5","2",14
"47","4","5","2",13
"48","3","5","2",19
"49","2","5","2",19
"50","1","5","2",13
"51","5","1","3",9
"52","4","1","3",4
"53","3","1","3",9
"54","2","1","3",12
"55","1","1","3",5
"56","5","2","3",10
"57","4","2","3",7
"58","3","2","3",20
"59","2","2","3",17
"60","1","2","3",10
"61","5","3","3",4
"62","4","3","3",6
"63","3","3","3",10
"64","2","3","3",10
"65","1","3","3",16
"66","5","4","3",5
"67","4","4","3",6
"68","3","4","3",11
"69","2","4","3",13
"70","1","4","3",6
"71","5","5","3",2
"72","4","5","3",4
"73","3","5","3",7
"74","2","5","3",15
"75","1","5","3",9
"76","5","1","4",1
"77","3","1","4",3
"78","2","1","4",3
"79","5","2","4",8
"80","4","2","4",4
"81","3","2","4",16
"82","2","2","4",10
"83","1","2","4",14
"84","5","3","4",9
"85","4","3","4",7
"86","3","3","4",17
"87","2","3","4",13
"88","1","3","4",23
"89","5","4","4",9
"90","4","4","4",13
"91","3","4","4",16
"92","2","4","4",17
"93","1","4","4",20
"94","5","5","4",18
"95","4","5","4",10
"96","3","5","4",32
"97","2","5","4",20
"98","1","5","4",21
"99","5","2","5",3
"100","4","2","5",3
"101","3","2","5",2
"102","2","2","5",3
"103","1","2","5",4
"104","5","3","5",6
"105","4","3","5",5
"106","3","3","5",8
"107","2","3","5",14
"108","1","3","5",9
"109","5","4","5",9
"110","4","4","5",12
"111","3","4","5",6
"112","2","4","5",9
"113","1","4","5",9
"114","5","5","5",15
"115","4","5","5",24
"116","3","5","5",30
"117","2","5","5",39
"118","1","5","5",26
